127.0.0.1 - - [21/Oct/2022:11:42:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Oct/2022:11:42:37 +0900] "GET /ch2/ HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [21/Oct/2022:11:42:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2022:11:42:53 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [21/Oct/2022:11:53:13 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [21/Oct/2022:11:53:53 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [21/Oct/2022:11:56:58 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [21/Oct/2022:12:00:03 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 500 3872
0:0:0:0:0:0:0:1 - - [21/Oct/2022:12:00:35 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 500 3872
0:0:0:0:0:0:0:1 - - [21/Oct/2022:12:00:36 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 500 3872
0:0:0:0:0:0:0:1 - - [21/Oct/2022:12:00:46 +0900] "GET /ch2/getYoilMVC?year=2021&month=10&day=1 HTTP/1.1" 200 99
